THBS1;9
SMAD4;9
Rab8a;9
RUNX1T1;9
RAB8A;9
Prkci;9
PRKCI;9
NLRP1;9
NCAM2;9
Mccr;9
Maf;9
MTG8;9
MSH2;9
METTL3;9
METTL14;9
MAP3K1;9
MALT1;9
MAF;9
IGFR2;9
FKHR;9
FCG2;9
DXS1179E;9
DNMT3A;9
DCTN1;9
CLIP1;9
CBLB;9
CBFA2T1;9
BUB1B;9
BRD3;9
ATF1;9
ANK3;9
AML1T1;9
ADH1B;9
ZAN;8
YEATS3;8
WHSC1L1;8
WDR11;8
WAS;8
TFRC;8
TCEA1;8
RIPK1;8
RASA1;8
PTPN22;8
NSD3;8
NR1A1;8
NCSTN;8
MTCP1;8
MLLT3;8
MAPK7;8
MAP3K5;8
LILRB1;8
IL6ST;8
ID3;8
Flt3;8
FLT3;8
FHIT;8
FCER1A;8
ELN;8
EIF1AX;8
DLC1;8
CSNK2B;8
COX2;8
Bmi1;8
BRWD2;8
BMPR1A;8
BMI1;8
ATRX;8
ALL1;8
XBP1;7
VPRBP;7
Usp4;7
USP4;7
USP16;7
UBE2D1;7
TNFSF10;7
SCN5A;7
RARB;7
RARA;7
PMS2;7
PDHB;7
PAG1;7
OTT;7
NTRK2;7
NRK;7
NR1B2;7
NR1B1;7
MKL1;7
KIF5B;7
INT2;7
HSP90AB1;7
HLR2;7
Fli1;7
FLI1;7
DDX6;7
DDX3X;7
CD1B;7
CBFB;7
BCL9;7
AXIN1;7
ACVR1;7
XPO1;6
Vav1;6
VAV1;6
SRSF1;6
SKP2;6
SIGLEC1;6
RQCD1;6
RPL5;6
RHEB;6
RALGDS;6
PFKP;6
NUP98;6
NEB;6
Meis1;6
MSH6;6
MNAT1;6
KLK2;6
KHSRP;6
IL2RG;6
HSTF1;6
Fli-1;6
ERCC3;6
ERBB2IP;6
EPS15;6
DNMT1;6
DEK;6
CYP2E1;6
CYP2C9;6
CDKN2C;6
CCNL1;6
BRX;6
BRCA2;6
AF1P;6
AF10;6
ABL2;6
ZSG;5
ZNF278;5
ZBTB19;5
WIF1;5
TXNIP;5
TRIM19;5
TPRC;5
TNFRSF14;5
TNFAIP6;5
SUFU;5
SS18;5
SPHK1;5
SMURF2;5
SMC3;5
SMARCA4;5
SBDS;5
RPGR;5
RNF71;5
RIAZ;5
RABEP1;5
Pdgfb;5
PTPRD;5
PTPRC;5
PRKCA;5
PRDM1;5
PP8675;5
PKS;5
PKCA;5
PDGFB;5
PDGF2;5
PATZ1;5
PATZ;5
NDC80;5
MCEF;5
KREMEN1;5
JAG1;5
Int3;5
HNRNPK;5
G3BP1;5
Frat1;5
Flk-2;5
FRAT1;5
FOXO1A;5
FOXO1;5
FLT4;5
FLK2;5
FEL;5
ERCC4;5
ERCC2;5
DDB2;5
DCLK1;5
DC28;5
CSDE1;5
CLK3;5
CHOP;5
CDYL;5
CD135;5
CALCR;5
CAIN;5
BIRC3;5
BCL1;5
Aff4;5
AXL;5
AFF4;5
AF5Q31;5
WWP1;4
TTG2;4
TRIM33;4
TNFRSF17;4
SUZ12;4
SLIT2;4
SERPINA12;4
SCCRO;4
Rp42;4
RP42;4
RNF51;4
RIMBP2;4
RHOM2;4
RBTNL1;4
RBTN2;4
RBMX;4
RBM10;4
RBBP6;4
Ptp4a3;4
Prl3;4
Pcgf4;4
PTP4A3;4
PTEN;4
PRKCB;4
PRDM9;4
PRAD1;4
PMS1;4
PLCG1;4
PIK3CD;4
PIK3C2A;4
PCGF4;4
NUP214;4
NPM1;4
NFKB2;4
NCOR2;4
NBN;4
MYH9;4
MSH3;4
MLLT4;4
MKI67;4
MEF2B;4
MAP3K12;4
LYT10;4
LTK;4
LMO2;4
LCP1;4
KMT2C;4
JJAZ1;4
IL1A;4
IL13RA1;4
GRM3;4
GRAF;4
Foxo3a;4
Foxo3;4
FRMPD4;4
FOXO3A;4
FOXO3;4
FKHRL1;4
FGFR3;4
FBXW7;4
EZR;4
EPHA7;4
EPHA1;4
ELK4;4
DDX41;4
CYLD;4
CPS1;4
CNOT3;4
CIC;4
CHET9;4
CHD7;4
CDKN2A;4
CDK12;4
CDC42BPB;4
CCND1;4
CANT1;4
Bmi-1;4
BMI-1;4
BHLHE39;4
BCOR;4
BCMA;4
Arhgef2;4
ARHGEF2;4
ARHGEF12;4
APLNR;4
ANPEP;4
AFDN;4
ACTB;4
ABCB1;4
fos;3
ZFHX3;3
YWHAE;3
XPA;3
USP25;3
UBR5;3
Tpl2;3
Tes3;3
Tal1;3
TLR2;3
TET2;3
TCF7L2;3
TAL1;3
STAT6;3
STAG2;3
SRGAP3;3
SGK1;3
SFPQ;3
SEPT9;3
SATB2;3
Ros1;3
Rasgrp;3
ROS1;3
ROBO2;3
RMI2;3
RBM15;3
RAD21;3
POT1;3
PLCG2;3
PDGFR;3
PCM1;3
PCDH15;3
PAX5;3
PAK3;3
Net1;3
NTRK3;3
NOTCH3;3
NLN;3
NET1;3
Mas1;3
Map3k8;3
MST1R;3
MAS1;3
MAP3K8;3
MAP2K4;3
MAML1;3
LMO1;3
LDB1;3
KDM2A;3
JTK8;3
ITGA4;3
IRS1;3
IL7R;3
IGK;3
IDH2;3
HT31;3
HOXA13;3
HNRNPA2B1;3
HMGB1;3
GATA3;3
Fos;3
FXR1;3
FUBP1;3
FSTL3;3
FOS;3
FLRG;3
FCGR2B;3
Ect2;3
EVPL;3
ETV6;3
ETV4;3
ETV1;3
ESTF;3
ERRFI1;3
ER81;3
EPHB1;3
EBF1;3
Dcun1l1;3
Dcun1d1;3
DOCK2;3
DLG3;3
DCUN1L1;3
DCUN1D1;3
COL3A1;3
CDKN1A;3
CD74;3
CASC5;3
CARS;3
CALR;3
C10orf2;3
ANGPT1;3
AKAP13;3
AHNAK;3
AF17;3
ACVR2A;3
ABLIM2;3
pim2;2
cdt1;2
ZNF145;2
ZMYND10;2
ZIC3;2
ZHX2;2
ZBTB16;2
USP6;2
UFO;2
UBXN9;2
UBXD9;2
U2AF1;2
Tal-1;2
TUG;2
TSHR;2
TSC1;2
TLR4;2
TCL5;2
TCF3;2
SULT1B1;2
SPTA1;2
SPG20;2
SOX2;2
SLURP1;2
SIRPB1;2
SIN3A;2
SIGLEC8;2
Ros-1;2
Ris2;2
Rasgrp1;2
RUFY1;2
RSPO2;2
RPL22;2
RPL10;2
RIMS2;2
RHOB;2
RGS12;2
RCC17;2
RAG2;2
RADIL;2
Pkcl;2
Pim2;2
Pim-2;2
PTPRO;2
PTPN12;2
PRKCG;2
POB1;2
PLZF;2
PKS2;2
PIM2;2
PDZRN3;2
PDGFRB;2
PDGFR1;2
PBX1;2
PALB2;2
PAIP1;2
NONO;2
NLRP3;2
NFKBIA;2
NCOR1;2
NACA;2
Mafa;2
MUTYH;2
MTCP1NB;2
MLLT7;2
MLLT10;2
MLLT1;2
MLH1;2
MCF3;2
MAP3K9;2
MAFA;2
LRRK2;2
LPHN3;2
LASP1;2
LAMA2;2
KS3;2
KDM5C;2
KDM2B;2
ITLN1;2
IL21R;2
HYDIN;2
HOX11;2
HNF1B;2
HERC2;2
HERC1;2
HCN1;2
GMPS;2
GLIPR2;2
FOXO4;2
FMN2;2
FKHL1;2
FGF19;2
FBXO31;2
FAT2;2
Ets2;2
ETV5;2
ETS2;2
ERCC5;2
ERC1;2
EPHA5;2
EPB41L3;2
ELMO1;2
ELF4;2
ELF3;2
EIF3A;2
